entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
CoQuan:bộ tài chính,CoQuan,Bộ Tài chính,Bộ Tài chính,112025,openclaw0,0.99,Theo đề nghị của Bộ trưởng Bộ Tài chính
CoQuan:hiệp hội bảo hiểm việt nam,CoQuan,Hiệp hội bảo hiểm Việt Nam,Hiệp hội bảo hiểm Việt Nam,112025,openclaw0,0.98,Nhà nước tạo điều kiện để Hiệp hội bảo hiểm Việt Nam và các tổ chức xã hội - nghề nghiệp tăng cường vai trò tự quản trong lĩnh vực bảo hiểm
DoiTuongApDung:doanh nghiệp bảo hiểm,DoiTuongApDung,Doanh nghiệp bảo hiểm,Doanh nghiệp bảo hiểm,112025,openclaw0,0.99,Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm;
DoiTuongApDung:chi nhánh nước ngoài,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,112025,openclaw0,0.99,b) Chi nhánh nước ngoài;
DoiTuongApDung:doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,112025,openclaw0,0.99,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
DoiTuongApDung:đại lý bảo hiểm,DoiTuongApDung,Đại lý bảo hiểm,Đại lý bảo hiểm,112025,openclaw0,0.99,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
"DoiTuongApDung:các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan","Các tổ chức, cá nhân khác có liên quan",112025,openclaw0,0.99,"d) Các tổ chức, cá nhân khác có liên quan."
LinhVuc:kinh doanh bảo hiểm,LinhVuc,Kinh doanh bảo hiểm,Kinh doanh bảo hiểm,112025,openclaw0,0.99,"NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢO HIỂM"
LinhVuc:bảo hiểm nhân thọ,LinhVuc,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,112025,openclaw0,0.99,Thành lập và hoạt động của các doanh nghiệp bảo hiểm nhân thọ
LinhVuc:bảo hiểm phi nhân thọ,LinhVuc,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,112025,openclaw0,0.99,doanh nghiệp bảo hiểm phi nhân thọ
LinhVuc:bảo hiểm sức khỏe,LinhVuc,Bảo hiểm sức khỏe,Bảo hiểm sức khỏe,112025,openclaw0,0.99,doanh nghiệp bảo hiểm sức khỏe
LinhVuc:tái bảo hiểm,LinhVuc,Tái bảo hiểm,Tái bảo hiểm,112025,openclaw0,0.99,doanh nghiệp tái bảo hiểm
LinhVuc:môi giới bảo hiểm,LinhVuc,Môi giới bảo hiểm,Môi giới bảo hiểm,112025,openclaw0,0.99,doanh nghiệp môi giới bảo hiểm
LinhVuc:đại lý bảo hiểm,LinhVuc,Đại lý bảo hiểm,Đại lý bảo hiểm,112025,openclaw0,0.99,đại lý bảo hiểm
LinhVuc:cung cấp dịch vụ bảo hiểm qua biên giới,LinhVuc,Cung cấp dịch vụ bảo hiểm qua biên giới,Cung cấp dịch vụ bảo hiểm qua biên giới,112025,openclaw0,0.99,cung cấp dịch vụ bảo hiểm qua biên giới
LinhVuc:quản lý tài chính trong lĩnh vực bảo hiểm,LinhVuc,Quản lý tài chính trong lĩnh vực bảo hiểm,Quản lý tài chính trong lĩnh vực bảo hiểm,112025,openclaw0,0.98,"Chế độ quản lý tài chính đối với các doanh nghiệp bảo hiểm, chi nhánh nước ngoài, doanh nghiệp môi giới bảo hiểm"
CoQuan:bộ tài chính,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,metadata,1.0,metadata.csv: Bộ Tài chính
NguoiKy:trần xuân hà,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,112924,metadata,1.0,metadata.csv: Trần Xuân Hà
LinhVuc:chưa phân loại,LinhVuc,Chưa phân loại,Chưa phân loại,112924,metadata,1.0,metadata.csv: Chưa phân loại
"DoiTuongApDung:tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu",DoiTuongApDung,"tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu","tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu",112924,rule,0.85,"ng ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và hoạt động nhận ủy thác đầu tư gián tiếp ra nước ngoài của công ty quản lý quỹ. Điều 2. Đối tượng áp dụng Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài. Điều 3. Giải thích từ ngữ Ngoài các từ ngữ đã được giải thích trong Nghị định số 135/2015/NĐ-CP ngày 31/12/2015 của Chính phủ quy định về đầu tư gián tiếp ra nước ngoài (sau đây gọi là Nghị đ"
"DoiTuongApDung:trường hợp quy định tại khoản 1, điểm b khoản 4 điều này)",DoiTuongApDung,"trường hợp quy định tại khoản 1, điểm b khoản 4 Điều này)","trường hợp quy định tại khoản 1, điểm b khoản 4 Điều này)",112924,rule,0.85,"về quyết định thu hồi giấy chứng nhận đăng ký hoạt động nhận ủy thác đầu tư gián tiếp ra nước ngoài; b) Không ký mới, gia hạn các hợp đồng ủy thác đầu tư gián tiếp ra nước ngoài (áp dụng đối với trường hợp quy định tại khoản 1, điểm b khoản 4 Điều này); c) Chấm dứt việc giao dịch và quản lý tài sản ở nước ngoài, trừ các giao dịch với mục đích tất toán danh mục đầu tư của khách hàng ủy thác; d) Thực hiện thanh lý các hợp đồng ủy thác đầu tư, tất toán tài khoản danh mục"
CoQuan:ngân hàng nhà nước việt nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,metadata,1.0,metadata.csv: Ngân hàng Nhà nước Việt Nam
NguoiKy:nguyễn đồng tiến,NguoiKy,Nguyễn Đồng Tiến,Nguyễn Đồng Tiến,117310,metadata,1.0,metadata.csv: Nguyễn Đồng Tiến
"LinhVuc:thanh tra, giám sát ngân hàng",LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",117310,metadata,1.0,"metadata.csv: Thanh tra, giám sát ngân hàng"
DoiTuongApDung:các ngân hàng được đặt vào kiểm soát đặc biệt,DoiTuongApDung,các ngân hàng được đặt vào kiểm soát đặc biệt,các ngân hàng được đặt vào kiểm soát đặc biệt,117310,rule,0.85,"ân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài; b) Chi nhánh ngân hàng nước ngoài. 3. Thông tư này không áp dụng đối với các ngân hàng được đặt vào kiểm soát đặc biệt. Điều 2. Giải thích từ ngữ Trong Thông tư này, các từ ngữ dưới đây được hiểu như sau: 1. Tài sản tài chính là các loại tài sản sau: a) Tiền mặt; b) Công cụ vốn chủ sở hữu của đơn vị khác; c) Quyền theo hợp đồng để: (i)"
DoiTuongApDung:khách hàng đó,DoiTuongApDung,khách hàng đó,khách hàng đó,117310,rule,0.85,"của các doanh nghiệp xếp hạng tín nhiệm độc lập khác nhau thì ngân hàng, chi nhánh ngân hàng nước ngoài phải sử dụng thứ hạng tín nhiệm tương ứng hệ số rủi ro tín dụng cao nhất để áp dụng đối với khách hàng đó; c) Không sử dụng thứ hạng tín nhiệm của tập đoàn để áp dụng hệ số rủi ro tín dụng đối với công ty con, công ty liên kết trong tập đoàn đó; d) Chỉ sử dụng thứ hạng tín nhiệm để áp dụng hệ số rủi ro đối với xếp hạng tín"
DoiTuongApDung:khoản phải đòi đó,DoiTuongApDung,khoản phải đòi đó,khoản phải đòi đó,117310,rule,0.85,"của các doanh nghiệp xếp hạng tín nhiệm độc lập khác nhau thì ngân hàng, chi nhánh ngân hàng nước ngoài phải sử dụng thứ hạng tín nhiệm tương ứng hệ số rủi ro tín dụng cao nhất để áp dụng đối với khoản phải đòi đó; g) Trường hợp khoản phải đòi không có thứ hạng tín nhiệm thì ngân hàng, chi nhánh ngân hàng nước ngoài áp dụng theo thứ tự như sau: (i) Nếu khách hàng, đối tác có các khoản phải đòi, nợ phải trả tài chính khác có thứ h"
"DoiTuongApDung:các doanh nghiệp không cung cấp báo cáo tài chính cho ngân hàng, chi nhánh ngân hàng nước ngoài để tính các chỉ tiêu doanh thu, tỷ lệ đòn bảy, vốn chủ sở hữu",DoiTuongApDung,"các doanh nghiệp không cung cấp Báo cáo tài chính cho ngân hàng, chi nhánh ngân hàng nước ngoài để tính các chỉ tiêu doanh thu, tỷ lệ đòn bảy, vốn chủ sở hữu","các doanh nghiệp không cung cấp Báo cáo tài chính cho ngân hàng, chi nhánh ngân hàng nước ngoài để tính các chỉ tiêu doanh thu, tỷ lệ đòn bảy, vốn chủ sở hữu",117310,rule,0.85,"100% 80% 60% 50% Tỷ lệ đòn bẩy từ 25% đến 50% 125% 110% 95% 80% Tỷ lệ đòn bẩy trên 50% 160% 150% 140% 120% Vốn chủ sở hữu âm hoặc bằng 0 250% (ii) Hệ số rủi ro tín dụng 200% được áp dụng đối với các doanh nghiệp không cung cấp Báo cáo tài chính cho ngân hàng, chi nhánh ngân hàng nước ngoài để tính các chỉ tiêu doanh thu, tỷ lệ đòn bảy, vốn chủ sở hữu; (iii) Đối với các doanh nghiệp thành lập mới (không bao gồm các trường hợp thành lập do tổ chức lại, chuyển đổi hình thức pháp lý,...), hoạt động chưa được 01 năm, hệ số rủi ro tín dụng là 150%. c) Đối với khoản cấp tí"
DoiTuongApDung:khoản phải đòi được bảo đảm bằng bất động sản không kinh doanh theo chỉ tiêu tỷ lệ bảo đảm (ltv) như sau: ltv ltv dưới 40% ltv từ 40% trở lên đến dưới 60% ltv từ 60% trở lên đến dư,DoiTuongApDung,khoản phải đòi được bảo đảm bằng bất động sản không kinh doanh theo chỉ tiêu Tỷ lệ bảo đảm (LTV) như sau: LTV LTV dưới 40% LTV từ 40% trở lên đến dưới 60% LTV từ 60% trở lên đến dư,khoản phải đòi được bảo đảm bằng bất động sản không kinh doanh theo chỉ tiêu Tỷ lệ bảo đảm (LTV) như sau: LTV LTV dưới 40% LTV từ 40% trở lên đến dưới 60% LTV từ 60% trở lên đến dư,117310,rule,0.85,"hi ngân hàng, chi nhánh ngân hàng nước ngoài có thông tin giá trị của tài sản bảo đảm bị suy giảm trên 30% so với giá trị tại thời điểm xác định gần nhất. b) Hệ số rủi ro tín dụng áp dụng đối với khoản phải đòi được bảo đảm bằng bất động sản không kinh doanh theo chỉ tiêu Tỷ lệ bảo đảm (LTV) như sau: LTV LTV dưới 40% LTV từ 40% trở lên đến dưới 60% LTV từ 60% trở lên đến dưới 80% LTV từ 80% trở lên đến dưới 90% LTV từ 90% trở lên đến dưới 100% LTV từ 100% trở lên Hệ số rủi ro 30% 40% 50% 70% 80% 100% c) Đối với khoản phải đòi được đảm bảo bằng bất động sản kinh doanh, hệ số rủi ro tín dụng"
"DoiTuongApDung:khoản phải đòi được đảm bảo bằng bất động sản mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về tỷ lệ bảo đảm (ltv)",DoiTuongApDung,"khoản phải đòi được đảm bảo bằng bất động sản mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về Tỷ lệ bảo đảm (LTV)","khoản phải đòi được đảm bảo bằng bất động sản mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về Tỷ lệ bảo đảm (LTV)",117310,rule,0.85,"xác định riêng cho từng bất động sản kinh doanh và bất động sản không kinh doanh tương ứng theo tỷ lệ tổng diện tích mặt bằng của bất động sản; đ) Hệ số rủi ro tín dụng 150% được áp dụng đối với khoản phải đòi được đảm bảo bằng bất động sản mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về Tỷ lệ bảo đảm (LTV); e) Hệ số rủi ro tín dụng 200% được áp dụng đối với tài sản là khoản cấp tín dụng tài trợ dự án kinh doanh bất động sản. 11. Đối với tài sản là khoản cho vay thế chấp nhà, ngân hàng, chi nhánh ngân hàng nước ngoài thực"
DoiTuongApDung:tài sản là khoản cấp tín dụng tài trợ dự án kinh doanh bất động sản,DoiTuongApDung,tài sản là khoản cấp tín dụng tài trợ dự án kinh doanh bất động sản,tài sản là khoản cấp tín dụng tài trợ dự án kinh doanh bất động sản,117310,rule,0.85,"ng đối với khoản phải đòi được đảm bảo bằng bất động sản mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về Tỷ lệ bảo đảm (LTV); e) Hệ số rủi ro tín dụng 200% được áp dụng đối với tài sản là khoản cấp tín dụng tài trợ dự án kinh doanh bất động sản. 11. Đối với tài sản là khoản cho vay thế chấp nhà, ngân hàng, chi nhánh ngân hàng nước ngoài thực hiện như sau: a) Xác định Tỷ lệ bảo đảm (LTV) theo quy định tại khoản 10 Điều này và Tỷ lệ thu nhập (viết tắt là DSC) đố"
DoiTuongApDung:khoản cho vay thế chấp nhà ở theo tỷ lệ bảo đảm (ltv) và tỷ lệ thu nhập (dsc) như sau: các khoản cho vay thế chấp nhà ở ltv dưới 40% ltv từ 40% trở lên đến dưới 60% ltv từ 60% trở,DoiTuongApDung,khoản cho vay thế chấp nhà ở theo Tỷ lệ bảo đảm (LTV) và Tỷ lệ thu nhập (DSC) như sau: Các khoản cho vay thế chấp nhà ở LTV dưới 40% LTV từ 40% trở lên đến dưới 60% LTV từ 60% trở,khoản cho vay thế chấp nhà ở theo Tỷ lệ bảo đảm (LTV) và Tỷ lệ thu nhập (DSC) như sau: Các khoản cho vay thế chấp nhà ở LTV dưới 40% LTV từ 40% trở lên đến dưới 60% LTV từ 60% trở,117310,rule,0.85,"hộ gia đình. (ii) Tỷ lệ thu nhập (DSC) phải được xác định lại khi ngân hàng, chi nhánh ngân hàng nước ngoài có thông tin thay đổi về tổng thu nhập của khách hàng. b) Hệ số rủi ro áp dụng cho khoản cho vay thế chấp nhà ở theo Tỷ lệ bảo đảm (LTV) và Tỷ lệ thu nhập (DSC) như sau: Các khoản cho vay thế chấp nhà ở LTV dưới 40% LTV từ 40% trở lên đến dưới 60% LTV từ 60% trở lên đến dưới 80% LTV từ 80% trở lên đến dưới 90% LTV từ 90% trở lên đến LTV từ 100% trở lên dưới 100% DSC từ 35% trở xuống 25% 30% 40% 50% 60% 80% DSC trên 35% 30% 40% 50% 70% 80% 100% c) Hệ số rủi ro tín dụng 200% được"
"DoiTuongApDung:khoản cho vay thế chấp nhà mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về tỷ lệ bảo đảm (ltv) và/hoặc tỷ lệ thu nhập (dsc)",DoiTuongApDung,"khoản cho vay thế chấp nhà mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về Tỷ lệ bảo đảm (LTV) và/hoặc Tỷ lệ thu nhập (DSC)","khoản cho vay thế chấp nhà mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về Tỷ lệ bảo đảm (LTV) và/hoặc Tỷ lệ thu nhập (DSC)",117310,rule,0.85,"dưới 90% LTV từ 90% trở lên đến LTV từ 100% trở lên dưới 100% DSC từ 35% trở xuống 25% 30% 40% 50% 60% 80% DSC trên 35% 30% 40% 50% 70% 80% 100% c) Hệ số rủi ro tín dụng 200% được áp dụng đối với khoản cho vay thế chấp nhà mà ngân hàng, chi nhánh ngân hàng nước ngoài không có thông tin về Tỷ lệ bảo đảm (LTV) và/hoặc Tỷ lệ thu nhập (DSC). 12. Đối với tài sản là danh mục cấp tín dụng bán lẻ, hệ số rủi ro tín dụng là 75%. 13. Đối với khoản nợ xấu, hệ số rủi ro tín dụng áp dụng như sau: a) Đối với khoản nợ xấu có dự phòng cụ thể nhỏ hơn 20% giá trị của kho"
"DoiTuongApDung:các giao dịch phát hành hoặc xác nhận thư tín dụng thương mại dựa trên chứng từ vận tải, có thời hạn gốc từ 1 năm trở xuống",DoiTuongApDung,"các giao dịch phát hành hoặc xác nhận thư tín dụng thương mại dựa trên chứng từ vận tải, có thời hạn gốc từ 1 năm trở xuống","các giao dịch phát hành hoặc xác nhận thư tín dụng thương mại dựa trên chứng từ vận tải, có thời hạn gốc từ 1 năm trở xuống",117310,rule,0.85,"tự động hủy ngang khi khách hàng vi phạm điều kiện hủy ngang hoặc suy giảm khả năng thực hiện nghĩa vụ; b) Hạn mức tín dụng chưa sử dụng của thẻ tín dụng. 2. Hệ số chuyển đổi 20% áp dụng đối với các giao dịch phát hành hoặc xác nhận thư tín dụng thương mại dựa trên chứng từ vận tải, có thời hạn gốc từ 1 năm trở xuống. 3. Hệ số chuyển đổi 50% áp dụng đối với: a) Các giao dịch phát hành hoặc xác nhận thư tín dụng thương mại dựa trên chứng từ vận tải, có thời hạn gốc trên 1 năm; b) Nợ tiềm tàng dựa trên hoạt động cụ thể (ví dụ: bảo lãn"
DoiTuongApDung:: a) các cam kết ngoại bảng tương đương khoản cho vay (ví dụ: cam kết cho vay không hủy ngang là cam kết cho vay không thể hủy bỏ hoặc thay đổi dưới bất kỳ hình thức nào đối với nh,DoiTuongApDung,: a) Các cam kết ngoại bảng tương đương khoản cho vay (ví dụ: cam kết cho vay không hủy ngang là cam kết cho vay không thể hủy bỏ hoặc thay đổi dưới bất kỳ hình thức nào đối với nh,: a) Các cam kết ngoại bảng tương đương khoản cho vay (ví dụ: cam kết cho vay không hủy ngang là cam kết cho vay không thể hủy bỏ hoặc thay đổi dưới bất kỳ hình thức nào đối với nh,117310,rule,0.85,"thể (ví dụ: bảo lãnh thực hiện hợp đồng, bảo lãnh dự thầu, thư tín dụng dự phòng cho hoạt động cụ thể); c) Bảo lãnh phát hành chứng khoán, giấy tờ có giá. 4. Hệ số chuyển đổi 100% áp dụng đối với : a) Các cam kết ngoại bảng tương đương khoản cho vay (ví dụ: cam kết cho vay không hủy ngang là cam kết cho vay không thể hủy bỏ hoặc thay đổi dưới bất kỳ hình thức nào đối với những cam kết đã được thiết lập, trừ trường hợp phải hủy bỏ hoặc thay đổi theo quy định của pháp luật; các khoản bảo lãnh, thư tín dụng dự phòng bảo đảm nghĩa vụ tài chính cho khoản nợ hoặc trái phiếu; hạn mức tín dụng chư"
"DoiTuongApDung:các tài sản bảo đảm sau đây: a) tiền mặt, giấy tờ có giá, thẻ tiết kiệm do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài phát hành",DoiTuongApDung,"các tài sản bảo đảm sau đây: a) Tiền mặt, giấy tờ có giá, thẻ tiết kiệm do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài phát hành","các tài sản bảo đảm sau đây: a) Tiền mặt, giấy tờ có giá, thẻ tiết kiệm do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài phát hành",117310,rule,0.85,"iao dịch và biện pháp giảm thiểu rủi ro cùng một loại tiền tệ. Điều 12. Giảm thiểu rủi ro tín dụng bằng tài sản bảo đảm 1. Việc giảm thiểu rủi ro tín dụng bằng tài sản bảo đảm chỉ áp dụng đối với các tài sản bảo đảm sau đây: a) Tiền mặt, giấy tờ có giá, thẻ tiết kiệm do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài phát hành; b) Vàng (vàng tiêu chuẩn, vàng vật chất, vàng trang sức với giá trị được chuyển đổi giá trị sang vàng 99.99); c) Giấy tờ có giá do Chính phủ Việt Nam, Ngân hàng Nhà nước phát hành hoặc bảo lãnh thanh toán; d) Chứng kho"
