source_id,source_so_ky_hieu,target_so_ky_hieu,trigger,evidence
112924,105/2016/TT-BTC,135/2015/NĐ-CP,Nghị định số,"o hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài. Điều 3. Giải thích từ ngữ Ngoài các từ ngữ đã được giải thích trong Nghị định số 135/2015/NĐ-CP ngày 31/12/2015 của Chính phủ quy định về đầu tư gián tiếp ra nước ngoài (sau đây gọi là Nghị định số 135/2015/NĐ-CP ), trong Thông tư này, các từ ngữ dưới đây được hiểu như sau: 1. Tổ chức kinh doanh chứng khoán bao gồ"
117310,41/2016/TT-NHNN,156/2013/NĐ-CP,Căn cứ,"ài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng 11 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng; Thống đốc Ngân hàng Nhà nước Việt "
133858,05/2019/NĐ-CP,68/2000/NĐ-CP,Nghị định số," chi thường xuyên: có tổng quỹ tiền lương, phụ cấp và các khoản đóng góp theo lương của số người lao động hiện có (bao gồm: số biên chế có mặt, lao động hợp đồng theo Nghị định số 68/2000/NĐ-CP ngày 17 tháng 11 năm 2000 của Chính phủ và lao động hợp đồng chuyên môn khác) trong một năm từ 20 tỷ đồng trở lên hoặc sử dụng từ 200 người lao động trở lên phải thực hiện công tác kiểm toán nội bộ. Điều 10. Công tác ki"
143217,66/2020/TT-BTC,88/2015/QH,Căn cứ,"I CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Hà Nội, ngày 10 tháng 7 năm 2020 THÔNG TƯ Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, n"
143217,66/2020/TT-BTC,05/2019/NĐ-CP,Căn cứ," 10 tháng 7 năm 2020 THÔNG TƯ Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tố chức của Bộ Tài chính; Theo đề n"
143217,66/2020/TT-BTC,87/2017/NĐ-CP,Căn cứ," Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tố chức của Bộ Tài chính; Theo đề nghị của Cục trưởng Cục Quản lý, giám sát kế toán, kiểm toán; Bộ trưởng Bộ Tài chính ban hành Th"
143217,66/2020/TT-BTC,05/2019/NĐ-CP,Nghị định số,trong việc xây dựng Quy chế kiểm toán nội bộ của doanh nghiệp. Điều 2. Đối tượng áp dụng 1. Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ. 2. Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ trên cơ sở tham chiếu mẫu Quy chế kiểm toán 
146468,156/2020/NĐ-CP,108/2013/NĐ-CP,"Sửa đổi, bổ sung"," mượn, sử dụng trái quy định pháp luật Chương IV ĐIỀU KHOẢN THI HÀNH Điều 52. Hiệu lực thi hành 1. Nghị định này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2021. 2. Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một"
146468,156/2020/NĐ-CP,145/2016/NĐ-CP,"Sửa đổi, bổ sung","021. 2. Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường ch"
150974,08/2021/TT-BTC,8/2021/TT-BTC,Căn cứ,"BỘ TÀI CHÍNH CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 8/2021/TT-BTC Hà Nội, ngày 25 tháng 01 năm 2021 THÔNG TƯ Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 thá"
150974,08/2021/TT-BTC,05/2019/NĐ-CP,Căn cứ,"nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Theo đề n"
150974,08/2021/TT-BTC,87/2017/NĐ-CP,Căn cứ,"‾‾‾‾ Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Theo đề nghị của Cục trưởng Cục Quản lý, giám sát kế toán, kiểm toán; Bộ trưởng Bộ Tài chính ban hành Th"
150974,08/2021/TT-BTC,05/2019/NĐ-CP,Nghị định số,"các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này. 2. Các đơn vị không thuộc đối tượng quy định tại khoản 1 Điều này được"
150974,08/2021/TT-BTC,8/2021/TT-BTC,Thông tư số,"hính phủ và Website Bộ Tài chính; - Lưu: VT, Cục QLKT. KT. BỘ TRƯỞNG THỨ TRƯỞNG (Đã ký) Tạ Anh Tuấn Phụ lục số I CHUẨN MỰC KIỂM TOÁN NỘI BỘ VIỆT NAM (Ban hành kèm theo Thông tư số 8/2021/TT-BTC ngày 25 tháng 01 năm 2021 của Bộ trưởng Bộ Tài chính) Giới thiệu chuẩn mực Kiểm toán nội bộ được thực hiện ở những đơn vị có mục đích, quy mô, mức độ phức tạp và cơ cấu khác nhau và do nhân sự ở trong và ngoài đơn vị th"
163441,46/2023/NĐ-CP,47/2020/NĐ-CP,Nghị định số,"oanh bảo hiểm Việc kết nối Cơ sở dữ liệu về kinh doanh bảo hiểm với các cơ sở dữ liệu quốc gia và các cơ sở dữ liệu chuyên ngành khác được thực hiện theo quy định tại Nghị định số 47/2020/NĐ-CP ngày 09 tháng 4 năm 2020 của Chính phủ về quản lý, kết nối và chia sẻ dữ liệu số trong cơ quan nhà nước và pháp luật chuyên ngành. Chương II DOANH NGHIỆP BẢO HIỂM, DOANH NGHIỆP TÁI BẢO HIỂM, CHI NHÁNH NƯỚC NGOÀI TẠI VIỆ"
163441,46/2023/NĐ-CP,73/2016/NĐ-CP,Nghị định số," hiểm đã được cấp phép trước ngày 01 tháng 01 năm 2023: Trước ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn pháp định quy định tại Điều 10 Nghị định số 73/2016/NĐ-CP; từ ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn điều lệ tối thiểu theo quy định tại Điều 35 Nghị định này; b) Đối với các doanh nghiệp bảo hiểm, doanh nghiệp tái bảo hiểm đã được cấp phép k"
163441,46/2023/NĐ-CP,73/2016/NĐ-CP,"Sửa đổi, bổ sung"," khoản nợ của chính doanh nghiệp phát hành trước ngày 01 tháng 01 năm 2023 thì không được phép gia hạn khoản đầu tư này. 4. Nghị định này thay thế các văn bản sau: a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, trừ các Điều 10, 61, 62, 63, 64, 65, 66, 67. Các Điều 10, 61,"
163441,46/2023/NĐ-CP,151/2018/NĐ-CP,"Sửa đổi, bổ sung","ều 10, 61, 62, 63, 64, 65, 66, 67. Các Điều 10, 61, 62, 63, 64, 65, 66, 67 của Nghị định số 73/2016/NĐ-CP có hiệu lực đến hết ngày 31 tháng 12 năm 2027; b) Chương III Nghị định số 151/2018/NĐ-CP ngày 07 tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định về điều kiện đầu tư, kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Tài chính; c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 n"
163441,46/2023/NĐ-CP,80/2019/NĐ-CP,"Sửa đổi, bổ sung"," tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định về điều kiện đầu tư, kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Tài chính; c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một"
163441,46/2023/NĐ-CP,98/2013/NĐ-CP,"Sửa đổi, bổ sung","16/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, Nghị định số 98/2013/NĐ-CP ngày 28 tháng 8 năm 2013 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh doanh xổ số đã được sửa đổi, bổ sung một số điều theo Nghị định số 48/2018/NĐ-CP ngày 21 tháng 3 năm"
163441,46/2023/NĐ-CP,48/2018/NĐ-CP,"Sửa đổi, bổ sung","8 tháng 8 năm 2013 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh doanh xổ số đã được sửa đổi, bổ sung một số điều theo Nghị định số 48/2018/NĐ-CP ngày 21 tháng 3 năm 2018 của Chính phủ. Điều 123. Trách nhiệm thi hành Các Bộ trưởng, Thủ trưởng cơ quan ngang bộ, Thủ trưởng cơ quan thuộc Chính phủ, Chủ tịch Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương v"
163441,46/2023/NĐ-CP,14/2023/NĐ-CP,Căn cứ,"lập - Tự do - Hạnh phúc Số....../GP/KDBH Hà Nội, ngày... tháng... năm... BỘ TRƯỞNG BỘ TÀI CHÍNH Căn cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022; Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Căn cứ Nghị định số 46/2023/NĐ-CP ngày 01/7/2023 của Chính phủ quy định chi tiết thi hành một số điều của Luật Kin"
164719,22/2023/TT-NHNN,41/2016/TT-NHNN,"Sửa đổi, bổ sung","VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 22/2023/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2023 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam ngày 16 tháng 6 năm 2010; Căn cứ L"
164719,22/2023/TT-NHNN,102/2022/NĐ-CP,"Sửa đổi, bổ sung","m 2010; Căn cứ Luật Các tổ chức tín dụng ngày 16 tháng 6 năm 2010 và Luật sửa đổi, bổ sung một số điều của Luật Các tổ chức tín dụng ngày 20 tháng 11 năm 2017; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng; Thống đốc Ngân hàng Nhà nước Việt "
164719,22/2023/TT-NHNN,41/2016/TT-NHNN,thay thế,"ông của Thống đốc Ngân hàng Nhà nước trong việc chấp hành quy định tại Thông tư này."" Điều 2. Thay thế Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 của Thông tư số 41/2016/TT-NHNN bằng Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 ban hành kèm theo Thông tư này. Điều 3. Trách nhiệm tổ chức thực hiện Chánh Văn phòng, Chánh Thanh tra, giám sát ngân hàng, Thủ trưởng các đơn vị thuộc N"
168220,27/2024/TT-NHNN,102/2022/NĐ-CP,Căn cứ,"n hàng Nhà nước Việt Nam ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng ngày 18 tháng 01 năm 2024; Căn cứ Luật Hợp tác xã ngày 20 tháng 6 năm 2023; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng; Thống đốc Ngân hàng Nhà nước Việt "
168220,27/2024/TT-NHNN,31/2012/TT-NHNN,"Sửa đổi, bổ sung","quy định tại Thông tư này. Chương IV ĐIỀU KHOẢN THI HÀNH Điều 33. Hiệu lực thi hành 1. Thông tư này có hiệu lực từ ngày 01 tháng 7 năm 2024. 2. Thông tư này bãi bỏ: a) Thông tư số 31/2012/TT-NHNN ngày 26 tháng 11 năm 2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/1"
168220,27/2024/TT-NHNN,09/2016/TT-NHNN,"Sửa đổi, bổ sung","háng 7 năm 2024. 2. Thông tư này bãi bỏ: a) Thông tư số 31/2012/TT-NHNN ngày 26 tháng 11 năm 2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; c) Thông tư số 03/2014/TT-NHNN ngày 23 tháng 01 nă"
168220,27/2024/TT-NHNN,03/2014/TT-NHNN,"Sửa đổi, bổ sung"," 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã; c) Thông tư số 03/2014/TT-NHNN ngày 23 tháng 01 năm 2014 của Thống đốc Ngân hàng Nhà nước quy định về Quỹ đảm bảo an toàn hệ thống quỹ tín dụng nhân dân; d) Điều 1 và Điều 5 Thông tư số 21/2019/TT-NHNN ngày 14 tháng 11 năm 2019 sửa đổi, bổ sung một s"
168220,27/2024/TT-NHNN,21/2019/TT-NHNN,"Sửa đổi, bổ sung","ng tư số 03/2014/TT-NHNN ngày 23 tháng 01 năm 2014 của Thống đốc Ngân hàng Nhà nước quy định về Quỹ đảm bảo an toàn hệ thống quỹ tín dụng nhân dân; d) Điều 1 và Điều 5 Thông tư số 21/2019/TT-NHNN ngày 14 tháng 11 năm 2019 sửa đổi, bổ sung một số điều của các Thông tư quy định về ngân hàng hợp tác xã, quỹ tín dụng nhân dân và quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân; đ) Điều 1 Thông tư số 24/2023/TT-NHN"
168220,27/2024/TT-NHNN,24/2023/TT-NHNN,"Sửa đổi, bổ sung"," sửa đổi, bổ sung một số điều của các Thông tư quy định về ngân hàng hợp tác xã, quỹ tín dụng nhân dân và quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân; đ) Điều 1 Thông tư số 24/2023/TT-NHNN ngày 30 tháng 12 năm 2023 sửa đổi, bổ sung một số điều của các Thông tư liên quan đến việc nộp, xuất trình, cung cấp thông tin, giấy tờ về dân cư khi thực hiện thủ tục hành chính trong lĩnh vực thành lập và hoạt động ng"
168220,27/2024/TT-NHNN,21/2023/TT-NHNN,"Sửa đổi, bổ sung","g tư liên quan đến việc nộp, xuất trình, cung cấp thông tin, giấy tờ về dân cư khi thực hiện thủ tục hành chính trong lĩnh vực thành lập và hoạt động ngân hàng. đ) Điều 2 Thông tư 21/2023/TT-NHNN sửa đổi, bổ sung một số điều của các Thông tư liên quan đến hoạt động kinh doanh thuộc phạm vi, chức năng quản lý của Ngân hàng Nhà nước Việt Nam. Điều 34. Trách nhiệm tổ chức thực hiện Chánh Văn phòng, Chánh Thanh tra,"
168859,29/2024/TT-NHNN,102/2022/NĐ-CP,Căn cứ,"n hàng Nhà nước Việt Nam ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng ngày 18 tháng 01 năm 2024; Căn cứ Luật Hợp tác xã ngày 17 tháng 6 năm 2023; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng; Thống đốc Ngân hàng Nhà nước Việt "
168859,29/2024/TT-NHNN,06/2007/TT-NHNN,"Sửa đổi, bổ sung","hượng toàn bộ phần vốn góp được phê duyệt. 3. Quỹ tín dụng nhân dân hoạt động theo ngành nghề, quỹ tín dụng nhân dân hoạt động theo từng doanh nghiệp được quy định tại Thông tư số 06/2007/TT-NHNN ngày 06 tháng 11 năm 2007 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung Thông tư số 08/2005/TT-NHNN ngày 30 tháng 12 năm 2005 của Ngân hàng Nhà nước hướng dẫn thực hiện Nghị định số 48/2001/NĐ-CP ngày 13/8/2001 về t"
168859,29/2024/TT-NHNN,08/2005/TT-NHNN,"Sửa đổi, bổ sung","ụng nhân dân hoạt động theo từng doanh nghiệp được quy định tại Thông tư số 06/2007/TT-NHNN ngày 06 tháng 11 năm 2007 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung Thông tư số 08/2005/TT-NHNN ngày 30 tháng 12 năm 2005 của Ngân hàng Nhà nước hướng dẫn thực hiện Nghị định số 48/2001/NĐ-CP ngày 13/8/2001 về tổ chức và hoạt động của quỹ tín dụng nhân dân và Nghị định số 69/2005/NĐ-CP ngày 26 tháng 5 năm 2005 của"
168859,29/2024/TT-NHNN,48/2001/NĐ-CP,"Sửa đổi, bổ sung","6 tháng 11 năm 2007 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung Thông tư số 08/2005/TT-NHNN ngày 30 tháng 12 năm 2005 của Ngân hàng Nhà nước hướng dẫn thực hiện Nghị định số 48/2001/NĐ-CP ngày 13/8/2001 về tổ chức và hoạt động của quỹ tín dụng nhân dân và Nghị định số 69/2005/NĐ-CP ngày 26 tháng 5 năm 2005 của Chính phủ về việc sửa đổi, bổ sung một số điều của Nghị định số 48/2001/NĐ-CP ngày 13 tháng 8 n"
